기업이름,고용형태,연봉,기업주소,키워드,담당업무,인덱스,필요역량
탑커리어인사이트,경력3년↑,-, 서울특별시 강남구 역삼로17길 9 (역삼동) 배영빌딩 202호,자율주행,"전자·반도체, 소프트웨어·하드웨어",343,['학사']
탑커리어인사이트,경력7~15년,-, 서울특별시 강남구 역삼로17길 9 (역삼동) 배영빌딩 202호,자율주행,시스템프로그래머,344,"['학사', '제어', 'C', '임베디드', '알고리즘']"
비에이블컨설팅그룹,경력3~7년,-," 서울특별시 금천구 가산디지털2로 165 1501호 (가산동,백상스타타워2차)",자율주행,"전산·IT기술지원, 네트워크·서버·보안",345,['자율주행']
포티투닷 주식회사,경력13년↑,-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"인사·채용·인재개발(HRM·HRD), 총무·법무·특허, 재무·자금·IR",346,"['프로젝트', 'ai', '자율주행']"
에이치알컨설팅그룹,경력5년↑,-," 서울특별시 금천구 디지털로 130 1403호 (가산동,남성프라자)",자율주행,"응용프로그래머, 전산·IT기술지원",347,"['학사', 'C', '3D', 'ADAS', 'Linux']"
에이치알컨설팅그룹,경력10년↑,-," 서울특별시 금천구 디지털로 130 1403호 (가산동,남성프라자)",자율주행,"응용프로그래머, 웹기획·웹마케팅·PM",348,"['학사', 'C', 'ADAS', '임베디드', 'Linux']"
에이치알컨설팅그룹,경력3~14년,-," 서울특별시 금천구 디지털로 130 1403호 (가산동,남성프라자)",자율주행,"소프트웨어·하드웨어, 전자·반도체",349,"['학사', '회로', '제어', '시스템', 'ADAS']"
씨드로닉스,경력3년↑,-, 서울특별시 강남구 테헤란로20길 20 삼정빌딩 3층 씨드로닉스 (역삼동),자율주행,기계·금속·재료,350,"['자율주행', 'SW', '시스템', '영상처리', '인공지능']"
에이치알컨설팅그룹,경력5년↑,-," 서울특별시 금천구 디지털로 130 1403호 (가산동,남성프라자)",자율주행,"응용프로그래머, 소프트웨어·하드웨어",351,"['학사', 'SW', 'ADAS', '임베디드', 'Linux']"
사피온코리아,경력5년↑,-,"경기도 성남시 분당구 판교로 253 (삼평동,판교 이노밸리) A동",자율주행,"응용프로그래머, 웹프로그래머",352,"['학사', '자율주행', 'Embedded', '제어', 'C', 'linux', '데이터', 'SW', 'ADAS', 'AI', '임베디드', 'Python', '인공지능', 'Linux']"
포티투닷 주식회사,경력3년↑,-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"ERP·시스템분석·설계, 네트워크·서버·보안",353,"['시스템', 'ai']"
에이치알컨설팅그룹,경력3년↑,-," 서울특별시 금천구 디지털로 130 1403호 (가산동,남성프라자)",자율주행,"전자·반도체, 응용프로그래머, 시스템프로그래머",354,"['C', 'ADAS', '학사', 'Linux']"
에이치알컨설팅그룹,경력5년↑,-," 서울특별시 금천구 디지털로 130 1403호 (가산동,남성프라자)",자율주행,"응용프로그래머, 통신·모바일",355,"['C', 'ADAS', '학사', 'Linux']"
주식회사 웨이브엠,신입/경력(연차무관),-," 경기도 의왕시 철도박물관로 176 (월암동,한국철도기술연구원) 2동 113-2호 ㈜웨이브엠",자율주행,"웹프로그래머, 데이터베이스·DBA",356,[]
에이치알컨설팅그룹,경력5년↑,-," 서울특별시 금천구 디지털로 130 1403호 (가산동,남성프라자)",자율주행,"응용프로그래머, 통신·모바일",357,"['학사', 'C', 'SW', 'ADAS', '임베디드', 'Linux']"
에이치알컨설팅그룹,경력3년↑,-," 서울특별시 금천구 디지털로 130 1403호 (가산동,남성프라자)",자율주행,재무·자금·IR,358,"['학사', 'ADAS']"
포티투닷 주식회사,경력3년↑,-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"웹프로그래머, 웹기획·웹마케팅·PM",359,"['시스템', 'ai']"
에이치알컨설팅그룹,경력3년↑,-," 서울특별시 금천구 디지털로 130 1403호 (가산동,남성프라자)",자율주행,"응용프로그래머, 통신·모바일, 전자·반도체",360,"['학사', 'Linux', 'C', 'SW', 'S/W', 'ADAS', '임베디드', '알고리즘']"
에이치알컨설팅그룹,경력3~14년,-," 서울특별시 금천구 디지털로 130 1403호 (가산동,남성프라자)",자율주행,"전자·반도체, 소프트웨어·하드웨어, 시스템프로그래머",361,"['학사', '네트워크', 'SW', 'S/W', '시스템', 'ADAS', '임베디드']"
에이치알컨설팅그룹,경력6년↑,-," 서울특별시 금천구 디지털로 130 1403호 (가산동,남성프라자)",자율주행,"소프트웨어·하드웨어, 응용프로그래머, 웹기획·웹마케팅·PM",362,"['학사', 'ADAS', 'SW', 'Linux']"
에이치알컨설팅그룹,경력5년↑,-," 서울특별시 금천구 디지털로 130 1403호 (가산동,남성프라자)",자율주행,"응용프로그래머, 통신·모바일, 전자·반도체",363,"['C', 'ADAS', '학사', 'S/W']"
피액스인터내셔날,경력3년↑,-, 서울특별시 강남구 테헤란로 216 근무지 파주,자율주행,"기계·금속·재료, 빅데이터·AI(인공지능), 시스템프로그래머",364,"['학사', '컴퓨터공학', '자율주행', '영어', '제어', 'C', 'SW', 'S/W', 'ADAS', '임베디드', 'Python', '알고리즘']"
에이치알컨설팅그룹,경력5년↑,-," 서울특별시 금천구 디지털로 130 1403호 (가산동,남성프라자)",자율주행,"응용프로그래머, 통신·모바일",365,"['C', 'ADAS', '학사', 'Linux']"
에이치알컨설팅그룹,경력5년↑,-," 서울특별시 금천구 디지털로 130 1403호 (가산동,남성프라자)",자율주행,구매·자재,366,"['학사', 'ADAS', '영어']"
에이치알컨설팅그룹,경력3년↑,-," 서울특별시 금천구 디지털로 130 1403호 (가산동,남성프라자)",자율주행,"연구원·연구개발, 응용프로그래머",367,"['학사', 'ADAS']"
에이치알컨설팅그룹,경력5년↑,-," 서울특별시 금천구 디지털로 130 1403호 (가산동,남성프라자)",자율주행,응용프로그래머,368,"['학사', 'C', 'ADAS', '임베디드', 'Linux']"
조인스에이치알코리아,경력1년↑,-, 서울특별시 서초구 서운로 160,자율주행,"연구원·연구개발, 응용프로그래머",369,"['컴퓨터공학', '자율주행', 'Embedded', '영어', '제어', 'SW', 'S/W', '시스템', 'ADAS']"
에이치알컨설팅그룹,경력3년↑,-," 서울특별시 금천구 디지털로 130 1403호 (가산동,남성프라자)",자율주행,"연구원·연구개발, ERP·시스템분석·설계",370,"['학사', 'ADAS', '프로젝트']"
포티투닷 주식회사,경력5년미만,-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"품질관리, 전자·반도체",371,"['SW', '자율주행', 'ai', '3D']"
뷰런테크놀로지,경력1년↑,-," 서울특별시 서초구 강남대로 311 (서초동,한화생명보험빌딩)",자율주행,빅데이터·AI(인공지능),372,"['네트워크', 'C', '데이터', '프로젝트', 'Python']"
안진회계법인,경력2~10년,-," 서울특별시 영등포구 국제금융로 10 (여의도동,서울 국제금융 센터) ONE IFC 9F",자율주행,네트워크·서버·보안,373,"['석사', '학사', '자율주행', '네트워크', '컴퓨터공학', '시스템', '박사']"
라닉스,경력3년↑,-," 서울특별시 강남구 언주로135길 25 (논현동,라닉스빌딩)",자율주행,"영업관리·영업지원, 영업기획, 조사·분석·통계",374,['영어']
탑커리어인사이트,경력3~15년,-, 서울특별시 강남구 역삼로17길 9 (역삼동) 배영빌딩 202호,자율주행,전자·반도체,375,['회로']
반프,경력3~15년,-," 서울특별시 강남구 역삼로 175 (역삼동,현승빌딩) 3층",자율주행,"전자·반도체, 데이터베이스·DBA, 시스템프로그래머",376,"['석사', '학사', '자율주행', '회로', 'Embedded', 'Linux', '제어', 'C', '데이터', 'SW', '시스템', 'Python', '알고리즘']"
라닉스,경력5년↑,-," 서울특별시 강남구 언주로135길 25 (논현동,라닉스빌딩)",자율주행,세무·회계,377,[]
오픈엣지테크놀로지,경력3~10년,-, 서울 강남구 역삼로 114 13층 (역삼동),자율주행,네트워크·서버·보안,378,"['학사', '알고리즘', 'AI']"
두원전자통신,경력2년↑,-," 경기도 부천시 석천로 397 (삼정동,부천테크노파크쌍용3차)",자율주행,"네트워크·서버·보안, 통신·모바일, 빅데이터·AI(인공지능)",379,"['네트워크', 'C', 'SW', 'S/W', '딥러닝', 'Object', 'AI', '인공지능']"
주식회사애니랙티브,경력3~10년,-," 서울특별시 성동구 상원1길 26 (성수동1가,서울숲A타워) 803,804",자율주행,"경영·기획·전략, 조사·분석·통계, 홍보·PR·전시·컨벤션",380,"['3D', '프로젝트', '영어']"
나노융합산업연구조합,신입/경력(연차무관),-,(137-140) 서울 서초구 우면동 66-2 세신우면종합상가 408,자율주행,"빅데이터·AI(인공지능), 응용프로그래머, ERP·시스템분석·설계, 전산·IT기술지원, 생산·조립·가공·포장·검품, 생산관리, 바이오·식품공학",381,['AI']
한국폴리텍대학 성남캠퍼스,신입/경력(연차무관),-, 경기 성남시 수정구 수정로 398 (산성동),자율주행,"연구원·연구개발, 기술영업, 바이오·식품공학, 빅데이터·AI(인공지능), 응용프로그래머, ERP·시스템분석·설계, 전자·반도체, 네트워크·서버·보안, 게임(Game), 소프트웨어·하드웨어",382,"['C', 'AI']"
 실리콘스튜디오코리아,신입/경력(연차무관),-, 서울특별시 송파구 송파대로 201 송파 테라타워2 A동 1301호,자율주행,"응용프로그래머, 네트워크·서버·보안, 빅데이터·AI(인공지능), ERP·시스템분석·설계, 웹프로그래머, 건축·공간·CAD·CAM디자인",383,"['네트워크', '영어', '시스템', 'AI', 'Python']"
한국교통안전공단,신입,-,서울특별시 마포구 월드컵로 220,자율주행,"경영·기획·전략, 일반사무·사무지원, 세무·회계, 법률·법무·회계",384,[]
현대엠시스템즈,경력2년↑,"3,000~8,000","경기 수원시 영통구 신원로 88 102동 805호 806호 (신동,디지털엠파이어2)",자율주행,"전자·반도체, 시스템프로그래머",385,"['자율주행', 'Linux', 'Embedded', '임베디드']"
주식회사 프리콘,경력2년↑,"3,500"," 서울특별시 성동구 왕십리로 16(성수동1가, 트리마제)",자율주행,기술영업,386,"['제어', 'ADAS', '자율주행']"
포디게이트,신입/경력1년↑,"월급 3,000,000"," 경기도 안양시 동안구 시민대로109번길 29 (호계동,에이스하이테크시티 범계)3D SCAN STUDIO 512호, OFFICE 706호 ",드론,"여행·레저, 광고·CG·시각디자인",387,"['드론', '3D', '데이터', '프로젝트', '경력자']"
엑스퍼넷,신입/경력(연차무관),-," 서울특별시 구로구 디지털로31길 38-21 609호 (구로동,이앤씨벤처드림타워3차) ",드론,"기술영업, 여행·레저, 소프트웨어·하드웨어",388,"['드론', '영어']"
엑스퍼넷,신입/경력(연차무관),-," 서울특별시 구로구 디지털로31길 38-21 609호 (구로동,이앤씨벤처드림타워3차) ",드론,"기술영업, 여행·레저, 소프트웨어·하드웨어",389,"['드론', '분석', '영어']"
비에이블컨설팅그룹,경력4년↑,-," 서울특별시 금천구 가산디지털2로 165 1501호 (가산동,백상스타타워2차) ",드론,"생산관리, 전기·전자·통신기능, 전자·반도체",390,"['경력자', '드론']"
피플스카우트,경력3~10년,-, 서울특별시 마포구 삼개로 16 근신빌딩 2신관 501호 (도화동) ,드론,기계·금속·재료,391,"['전공자', '드론', '영어', '경력자', '설계']"
잡앤서비스,경력(연차무관),-, 광주광역시 북구 추암로 201 월출동 (첨단) 인근 ,드론,"원자력·우주·조선·철강, 연구원·연구개발, 경영·기획·전략",392,['드론']
프리뉴,경력2년↑,-," 경기도 안산시 단원구 산단로 325 (신길동,리드 스마트스퀘어 지식산업센터) F-501호 ~ 503호 ",드론,소프트웨어·하드웨어,393,"['엔지니어', '드론', '설계']"
봄날,경력1년↑,-," 서울특별시 금천구 가산디지털2로 70 (가산동,대륭테크노타운19차) ",드론,방송제작·연출·촬영·기자,394,['드론']
다스코리아,신입,-, 경기도 화성시 반월북길 23 다스코리아(반월동) ,드론,"기술영업, 영업관리·영업지원",395,[]
잡뉴스솔로몬서치,경력2~12년,-," 서울특별시 서초구 방배로 39 1층 104호 (방배동,미주빌딩) ",드론,기계·금속·재료,396,"['영어', '드론', '제어', '성능', '시스템', '최적화', '설계']"
웹뜰 주식회사,신입/경력1~5년,-," 서울특별시 성동구 아차산로 17 703호, 704호 (성수동1가,서울숲엘타워) ",드론,유통·상품기획·MD,397,['기획']
프리뉴,경력2년↑,-," 경기도 안산시 단원구 산단로 325 (신길동,리드 스마트스퀘어 지식산업센터) F-501호 ~ 503호 ",드론,"연구원·연구개발, 원자력·우주·조선·철강, 기계·금속·재료",398,"['3D', '드론', '설계']"
프리뉴,경력2년↑,-," 경기도 안산시 단원구 산단로 325 (신길동,리드 스마트스퀘어 지식산업센터) F-501호 ~ 503호 ",드론,"생산·조립·가공·포장·검품, 품질관리, 전자·반도체",399,[]
스타리치어드바이져,신입/경력(연차무관),-," 서울특별시 강남구 강남대로62길 3 7층 (역삼동,한진빌딩)   ",드론,"경영·기획·전략, 세무·회계, 금융·보험영업",400,['경력자']
잡뉴스솔로몬서치,경력5~15년,-," 서울특별시 서초구 방배로 39 1층 104호 (방배동,미주빌딩) ",드론,경영·기획·전략,401,"['기획', 'Data', '영어', 'Vision', '로봇', '프로젝트', 'AI']"
유비파이,신입/경력(연차무관),-," 서울특별시 관악구 남부순환로 1962 (봉천동,정호진 아트힐) 2층 ",드론,광고·CG·시각디자인,402,"['기획', '시스템', '전공자', '드론']"
유나이티드이미징헬스케어코리아,신입/경력(연차무관),-," 서울특별시 서초구 매헌로 16 리빙관 3층 315호 (양재동,하이브랜드) ",드론,"기술영업, 광학·의료장비",403,"['협업', '분석', '영어']"
세종대학교,신입/경력(연차무관),-,(143-747) 광진구 군자동 98 세종대학교 ,드론,일반사무·사무지원,404,[]
제이앤파트너즈코리아 ,경력4~15년,-," 서울특별시 용산구 한강대로43길 8 103동 1306호(한강로2가,벽산메가트리움) ",드론,섬유·화학,405,"['3D', '드론', '기획']"
